Gene	Control_1	Control_2	Control_3	Virulent_1	Virulent_2	Virulent_3	Time0_1	Time0_2	Time0_3
BRCA1	245.6	234.1	256.3	12.4	15.6	11.2	567.8	589.2	545.3
TP53	89.3	92.1	85.7	456.2	478.3	445.6	123.4	134.5	118.9
EGFR	567.8	589.2	545.3	234.5	245.6	223.4	45.6	43.2	48.9
MYC	432.1	445.6	421.3	789.2	801.5	776.4	234.5	245.6	223.4
KRAS	45.2	43.1	47.8	123.4	134.5	118.9	567.8	589.2	545.3
PTEN	123.4	134.5	118.9	567.8	589.2	545.3	234.5	245.6	223.4
CDKN1A	67.8	65.4	69.2	345.6	356.7	334.5	78.9	76.5	80.1
CCND1	234.5	245.6	223.4	67.8	65.4	69.2	456.7	467.8	445.6
E2F1	345.6	356.7	334.5	78.9	76.5	80.1	123.4	134.5	118.9
RB1	78.9	76.5	80.1	234.5	245.6	223.4	345.6	356.7	334.5
AKT1	456.7	467.8	445.6	123.4	134.5	118.9	67.8	65.4	69.2
PIK3CA	123.4	134.5	118.9	456.7	467.8	445.6	234.5	245.6	223.4
MAPK1	567.8	589.2	545.3	345.6	356.7	334.5	78.9	76.5	80.1
MAPK3	234.5	245.6	223.4	567.8	589.2	545.3	123.4	134.5	118.9
JUN	345.6	356.7	334.5	234.5	245.6	223.4	456.7	467.8	445.6
FOS	78.9	76.5	80.1	345.6	356.7	334.5	67.8	65.4	69.2
SRC	456.7	467.8	445.6	78.9	76.5	80.1	234.5	245.6	223.4
STAT3	123.4	134.5	118.9	567.8	589.2	545.3	345.6	356.7	334.5
NFKB1	567.8	589.2	545.3	123.4	134.5	118.9	78.9	76.5	80.1
TNF	234.5	245.6	223.4	456.7	467.8	445.6	234.5	245.6	223.4
IL6	345.6	356.7	334.5	234.5	245.6	223.4	456.7	467.8	445.6
IL1B	78.9	76.5	80.1	345.6	356.7	334.5	67.8	65.4	69.2
CXCL8	456.7	467.8	445.6	78.9	76.5	80.1	234.5	245.6	223.4
TGFB1	123.4	134.5	118.9	234.5	245.6	223.4	345.6	356.7	334.5
SMAD3	234.5	245.6	223.4	123.4	134.5	118.9	456.7	467.8	445.6
SMAD4	345.6	356.7	334.5	456.7	467.8	445.6	123.4	134.5	118.9
VEGFA	78.9	76.5	80.1	567.8	589.2	545.3	234.5	245.6	223.4
HIF1A	456.7	467.8	445.6	234.5	245.6	223.4	78.9	76.5	80.1
EPAS1	123.4	134.5	118.9	345.6	356.7	334.5	456.7	467.8	445.6
ARNT	234.5	245.6	223.4	78.9	76.5	80.1	123.4	134.5	118.9
